"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Points:0","Points:1","Points:2"
25.827,5761.7,191.43,0,9.8521e+06,5.396e+05,479.16,1.6461,10.904,3.2116,0
25.518,5716.6,132.63,0,9.733e+06,5.3392e+05,478.98,1.6497,11.196,3.2193,0
25.49,5718.6,69.485,0,9.7233e+06,5.334e+05,478.96,1.6515,11.489,3.2239,0
362.57,3599.8,-3.6915,0,1.4285e+08,2.9325e+06,538.02,0.088194,-11.582,0,0
362.56,3632.3,-8.1243,0,1.4284e+08,2.9323e+06,538.02,0.088998,-11.283,0,0
362.53,3676.5,-4.2329,0,1.4284e+08,2.932e+06,538.02,0.090107,-10.984,0,0
362.51,3714.1,-4.7425,0,1.4283e+08,2.9317e+06,538.01,0.091051,-10.685,0,0
362.47,3755,-3.8945,0,1.4281e+08,2.9313e+06,538.01,0.092091,-10.387,0,0
362.44,3799.4,-4.9319,0,1.428e+08,2.9309e+06,538.01,0.093214,-10.088,0,0
362.39,3848.1,-6.7655,0,1.4278e+08,2.9302e+06,538,0.094461,-9.7891,0,0
362.34,3911.8,-9.0358,0,1.4276e+08,2.9296e+06,538,0.096075,-9.4903,0,0
362.28,3991.7,-10.878,0,1.4274e+08,2.9289e+06,537.99,0.098103,-9.1916,0,0
362.2,4081.3,-11.658,0,1.4271e+08,2.9279e+06,537.99,0.10039,-8.8928,0,0
362.12,4180.8,-12.847,0,1.4268e+08,2.9269e+06,537.98,0.10293,-8.594,0,0
362.03,4297,-14.965,0,1.4264e+08,2.9258e+06,537.97,0.10589,-8.2953,0,0
361.94,4439.7,-17.838,0,1.4261e+08,2.9246e+06,537.96,0.10953,-7.9965,0,0
361.79,4607,-19.249,0,1.4255e+08,2.9228e+06,537.95,0.11383,-7.6977,0,0
361.65,4806.7,-22.988,0,1.425e+08,2.9211e+06,537.94,0.11895,-7.399,0,0
361.42,5062.9,-27.556,0,1.4241e+08,2.9183e+06,537.91,0.12561,-7.1002,0,0
361.07,5310.7,-29.271,0,1.4227e+08,2.914e+06,537.88,0.13226,-6.8014,0,0
360.75,5697.6,-88.806,0,1.4215e+08,2.9102e+06,537.85,0.14241,-6.5027,0,0
360.26,6090.7,-75.008,0,1.4196e+08,2.9042e+06,537.81,0.15306,-6.2039,0,0
359.67,6467,-71.898,0,1.4173e+08,2.8971e+06,537.75,0.16356,-5.9051,0,0
359.05,6861.2,-71.63,0,1.4149e+08,2.8897e+06,537.7,0.17471,-5.6063,0,0
358.27,7265.7,-61.906,0,1.4119e+08,2.8806e+06,537.62,0.18659,-5.3076,0,0
357.37,7683.2,-58.158,0,1.4084e+08,2.8702e+06,537.54,0.19924,-5.0088,0,0
356.38,8195.9,-104.02,0,1.4046e+08,2.8589e+06,537.45,0.21483,-4.71,0,0
355.29,8959.5,-92.369,0,1.4004e+08,2.8467e+06,537.35,0.23763,-4.4113,0,0
353.43,9632,-97.024,0,1.3931e+08,2.8263e+06,537.18,0.26062,-4.1125,0,0
351.55,10240,-109.79,0,1.3857e+08,2.8061e+06,537,0.28271,-3.8137,0,0
349.28,10934,-130.68,0,1.3769e+08,2.7826e+06,536.79,0.30923,-3.515,0,0
346.75,11653,-136.83,0,1.367e+08,2.7574e+06,536.56,0.33843,-3.2162,0,0
343.74,12380,-122.83,0,1.3552e+08,2.7285e+06,536.28,0.37096,-2.9174,0,0
340.14,13125,-118.09,0,1.3411e+08,2.6956e+06,535.94,0.408,-2.6187,0,0
335.73,13857,-109.89,0,1.3237e+08,2.6575e+06,535.53,0.45017,-2.3199,0,0
330.62,14552,-100.95,0,1.3036e+08,2.6162e+06,535.05,0.49679,-2.0211,0,0
324.95,15169,-83.102,0,1.2812e+08,2.5734e+06,534.52,0.5461,-1.7224,0,0
318.48,15688,-69.405,0,1.2556e+08,2.528e+06,533.91,0.59853,-1.4236,0,0
310.74,16131,-61.867,0,1.2249e+08,2.4778e+06,533.17,0.65717,-1.1248,0,0
301.34,16560,-63.779,0,1.1876e+08,2.4218e+06,532.26,0.72657,-0.82605,0,0
289.78,16932,-53.689,0,1.1418e+08,2.3587e+06,531.12,0.80727,-0.52728,0,0
276.9,17168,-45.546,0,1.0906e+08,2.2939e+06,529.81,0.89029,-0.22851,0,0
247.11,17207,-20.899,0,9.7212e+07,2.1585e+06,526.59,1.0609,0.36305,0,0
231.4,16952,11.583,0,9.0958e+07,2.0923e+06,524.76,1.1398,0.65585,0,0
214.11,16584,-15.814,0,8.4078e+07,2.0222e+06,522.61,1.2254,0.94864,0,0
197.66,16096,30.384,0,7.7527e+07,1.9571e+06,520.42,1.2964,1.2414,0,0
182.69,15557,62.986,0,7.157e+07,1.8978e+06,518.3,1.3456,1.5342,0,0
167.97,14952,79.717,0,6.5707e+07,1.8376e+06,516.09,1.3733,1.827,0,0
153.28,14312,70.754,0,5.9869e+07,1.7735e+06,513.73,1.3806,2.1198,0,0
137.34,13582,81.615,0,5.3538e+07,1.696e+06,510.99,1.3698,2.4126,0,0
121.79,12835,92.143,0,4.737e+07,1.6085e+06,508.1,1.35,2.7054,0,0
107.83,12145,98.963,0,4.1851e+07,1.5168e+06,505.29,1.3352,2.9982,0,0
96.421,11540,104.39,0,3.7347e+07,1.4301e+06,502.81,1.328,3.291,0,0
84.746,10891,98.658,0,3.2755e+07,1.3286e+06,500.07,1.3313,3.5838,0,0
71.659,10087,108.35,0,2.7625e+07,1.1969e+06,496.69,1.3497,3.8766,0,0
62.276,9429.6,83.953,0,2.3958e+07,1.0891e+06,493.99,1.3739,4.1694,0,0
55.885,8919.5,67.272,0,2.1466e+07,1.0086e+06,491.98,1.3952,4.4622,0,0
49.733,8407,50.257,0,1.9076e+07,9.2523e+05,489.89,1.426,4.755,0,0
44.822,7960.6,49.037,0,1.7173e+07,8.5429e+05,488.07,1.4565,5.0478,0,0
40.921,7572.9,56.473,0,1.5663e+07,7.9503e+05,486.52,1.4843,5.3405,0,0
37.542,7211.3,58.773,0,1.4358e+07,7.4153e+05,485.09,1.5115,5.6333,0,0
34.586,6872.9,60.872,0,1.3217e+07,6.9302e+05,483.75,1.538,5.9261,0,0
32.084,6570,59.796,0,1.2252e+07,6.507e+05,482.54,1.5629,6.2189,0,0
29.96,6300.9,57.456,0,1.1435e+07,6.1384e+05,481.45,1.5864,6.5117,0,0
28.172,6065.3,53.161,0,1.0747e+07,5.8212e+05,480.49,1.6082,6.8045,0,0
26.744,5867.8,45.681,0,1.0198e+07,5.5634e+05,479.68,1.6262,7.0973,0,0
25.616,5705,34.729,0,9.7637e+06,5.357e+05,479.02,1.6406,7.3901,0,0
24.744,5576.9,23.647,0,9.4285e+06,5.1956e+05,478.49,1.6525,7.6829,0,0
24.046,5474.3,34.55,0,9.1607e+06,5.0654e+05,478.06,1.6629,7.9757,0,0
23.389,5376.2,29.794,0,8.9087e+06,4.9419e+05,477.64,1.6731,8.2685,0,0
22.925,5308.2,15.687,0,8.7311e+06,4.854e+05,477.33,1.6812,8.5613,0,0
22.638,5265.8,9.5965,0,8.6214e+06,4.7996e+05,477.14,1.6863,8.8541,0,0
22.453,5236.5,6.3299,0,8.5502e+06,4.7643e+05,477.02,1.6891,9.1469,0,0
22.331,5216.2,3.2768,0,8.5032e+06,4.7411e+05,476.93,1.6906,9.4397,0,0
22.238,5202.3,1.2892,0,8.4677e+06,4.7233e+05,476.87,1.6924,9.7324,0,0
22.182,5193.6,0.83506,0,8.4459e+06,4.7125e+05,476.83,1.6933,10.025,0,0
22.137,5187.1,0.90006,0,8.4288e+06,4.7039e+05,476.8,1.6942,10.318,0,0
22.126,5185.3,0.15569,0,8.4246e+06,4.7018e+05,476.79,1.6944,10.611,0,0
22.13,5186,-0.054864,0,8.4263e+06,4.7026e+05,476.8,1.6943,10.904,0,0
22.156,5189.9,-0.50061,0,8.4361e+06,4.7076e+05,476.82,1.6938,11.196,0,0
22.201,5196.7,-0.13191,0,8.4533e+06,4.7161e+05,476.85,1.6931,11.489,0,0
362.62,3506.2,-5.3222,0,1.4287e+08,2.9331e+06,538.02,0.085849,-13.88,0.29408,0
362.62,3503.4,-9.3898,0,1.4287e+08,2.9331e+06,538.02,0.08578,-13.88,0.58815,0
362.62,3498.8,-13.382,0,1.4287e+08,2.9332e+06,538.02,0.085667,-13.88,0.88223,0
362.62,3493,-17.384,0,1.4287e+08,2.9332e+06,538.03,0.085521,-13.88,1.1763,0
362.63,3484.8,-22.173,0,1.4287e+08,2.9333e+06,538.03,0.085317,-13.88,1.4704,0
362.64,3476,-24.205,0,1.4288e+08,2.9333e+06,538.03,0.085097,-13.88,1.7645,0
