"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5894, 8.960782516555352e-01, 6.699989117312493e-01, 2.090242823785047e+02, 1.031848952901932e+04, -1.104580480108184e+01, 1.204316570158997e+08, 8.198768068830436e+05, 6.513923684191719e+02, 1.719310105062828e+00, -1.554528303895229e-03
5895, 6.699989196703312e-01, 8.960782470664586e-01, 2.095000000380420e+02, 1.033382631180259e+04, -2.859527093300751e-06, 1.207072069657100e+08, 8.202730000320845e+05, 6.514396178549846e+02, 1.699999998440788e+00, 1.258888792185906e-10
5896, 8.960790328919135e-01, 6.599982507556065e-01, 2.088277512614727e+02, 1.031205888963144e+04, -1.561302605612543e+01, 1.203178181121000e+08, 8.197156082742941e+05, 6.513728471971509e+02, 1.727342811655890e+00, -2.187017332919135e-03
5897, 6.599982737154815e-01, 8.960790196211228e-01, 2.095000000937742e+02, 1.033382631343228e+04, -1.062813913428505e-06, 1.207072069979930e+08, 8.202730000792900e+05, 6.514396178605675e+02, 1.699999996163094e+00, 3.111072846557567e-10
5898, 8.960800965215177e-01, 6.499973687158056e-01, 2.085822688170040e+02, 1.030396808452271e+04, -2.130729186668589e+01, 1.201756229790407e+08, 8.195162449518307e+05, 6.513484586048820e+02, 1.737424486305504e+00, -2.969251839941087e-03
5899, 6.499974266087454e-01, 8.960800630610044e-01, 2.095000001381506e+02, 1.033382631472215e+04, 5.277507617736183e-07, 1.207072070236988e+08, 8.202730001169099e+05, 6.514396178650180e+02, 1.699999994347961e+00, 4.587148777866473e-10
5900, 8.960814585797996e-01, 6.399962822056107e-01, 2.082855754521247e+02, 1.029410977571327e+04, -2.816931519795894e+01, 1.200037614558910e+08, 8.192781887392420e+05, 6.513189717923385e+02, 1.749681479461847e+00, -3.903304211244485e-03
5901, 6.399964119930932e-01, 8.960813835636074e-01, 2.095000001727724e+02, 1.033382631571074e+04, 1.906148221862239e-06, 1.207072070437501e+08, 8.202730001461599e+05, 6.514396178684739e+02, 1.699999992929679e+00, 5.734822114862533e-10
5902, 8.960831072726122e-01, 6.299950478628047e-01, 2.079371165136929e+02, 1.028242720913899e+04, -3.619611228680134e+01, 1.198019105192970e+08, 8.190025763561609e+05, 6.512843224111963e+02, 1.764178071043262e+00, -4.984714341978187e-03
5903, 6.299953105828185e-01, 8.960829553457268e-01, 2.095000001989245e+02, 1.033382631643787e+04, 3.057801986819893e-06, 1.207072070588881e+08, 8.202730001680283e+05, 6.514396178710468e+02, 1.699999991856916e+00, 6.592863877081289e-10
