,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
428,177.11,53211000.0,1.5401,8766.0,-706.4,0,791410.0,-0.12777,650.43,1,0.428,0.428,0.3,0,-0.18215729301643635,0.38031222565770473,507.6149043123545
429,175.04,52580000.0,1.5269,8704.3,-752.73,0,789120.0,-0.13791,650.28,1,0.429,0.429,0.3,0,-0.18850927881619173,0.38409639958031316,507.6149043123545
430,172.98,51952000.0,1.5138,8643.0,-798.81,0,786850.0,-0.14793,650.13,1,0.43,0.43,0.3,0,-0.1921564761249066,0.3876681555332613,507.6149043123545
431,170.98,51341000.0,1.5012,8583.4,-843.43,0,784730.0,-0.15735,649.98,1,0.431,0.431,0.3,0,-0.1945922501424513,0.39063421260226516,507.6149043123545
432,168.98,50730000.0,1.4886,8523.8,-888.04,0,782600.0,-0.16677,649.83,1,0.432,0.432,0.3,0,-0.19545861036807222,0.3935597718983793,507.6149043123545
433,166.9,50100000.0,1.4757,8461.4,-934.13,0,779930.0,-0.17858,649.67,1,0.433,0.433,0.3,0,-0.191401068758982,0.3977990022408038,507.6149043123545
434,164.81,49466000.0,1.4629,8398.6,-980.43,0,777190.0,-0.19072,649.52,1,0.434,0.434,0.3,0,-0.18356635822251066,0.4022950424143338,507.6149043123545
435,162.71,48830000.0,1.4499,8335.6,-1026.9,0,774480.0,-0.2027,649.36,1,0.435,0.435,0.3,0,-0.1757361431114377,0.40631622080796737,507.6149043123545
436,160.61,48191000.0,1.4366,8272.5,-1073.6,0,771820.0,-0.21446,649.2,1,0.436,0.436,0.3,0,-0.16734099585180706,0.4100758550961605,507.6149043123545
437,158.5,47551000.0,1.4234,8209.3,-1120.3,0,769170.0,-0.22623,649.04,1,0.437,0.437,0.3,0,-0.15824849912643768,0.4137028810500395,507.6149043123545
438,156.39,46912000.0,1.4102,8146.2,-1167.1,0,766510.0,-0.23799,648.89,1,0.438,0.438,0.3,0,-0.14726496676887568,0.4174422991004184,507.6149043123545
439,154.51,46339000.0,1.3995,8089.8,-1209.6,0,763830.0,-0.24987,648.74,1,0.439,0.439,0.3,0,-0.13566591904661518,0.4211262995587334,507.6149043123545
440,152.74,45804000.0,1.3901,8037.1,-1249.7,0,761100.0,-0.26194,648.6,1,0.44,0.44,0.3,0,-0.12216283513808612,0.42499613121108115,507.6149043123545
441,150.95,45260000.0,1.3805,7983.7,-1290.5,0,758360.0,-0.27405,648.45,1,0.441,0.441,0.3,0,-0.10955686732855918,0.4286209202826138,507.6149043123545
442,149.17,44720000.0,1.371,7930.6,-1331.0,0,755630.0,-0.28615,648.31,1,0.442,0.442,0.3,0,-0.09597217703360128,0.4322945864058374,507.6149043123545
