,Index,pressure,density,temperature,soundspeed,Mach,Z,g,A
83,83,0.8545454545454545,0.7759044049465226,0.9896489709782804,1.237886202281727,0.6733409839903278,0.668656416559353,0.5875626136976242,1.170334529087642
84,84,0.8636363636363636,0.7884378642580216,0.9902787070377412,1.2296598642519943,0.6536136561977041,0.6646044567855232,0.5802227952660212,1.1944292196175965
85,85,0.8727272727272728,0.8011408612264107,0.9909098924547632,1.2213647460941521,0.6331264572911821,0.660530298976904,0.5727761699777643,1.2217695074490356
86,86,0.8818181818181817,0.8140183283102908,0.991542696694233,1.2129995431247815,0.6117874625407698,0.6564334275583728,0.5652204910239624,1.2529640603257213
87,87,0.8909090909090909,0.8270754132636102,0.9921772919674376,1.2045629148719261,0.5894873486984964,0.6523133095742594,0.5575535630253972,1.2887981963408617
88,88,0.9,0.8403174915616146,0.9928138535387176,1.1960534858987861,0.5660942864007339,0.6481693939657323,0.5497732667929713,1.3303050235498537
89,89,0.9090909090909092,0.8537501796641382,0.9934525600430957,1.1874698470185459,0.541446708953765,0.6440011108419051,0.5418775886533779,1.3788749774976883
90,90,0.918181818181818,0.8673793491788158,0.9940935938146204,1.17881055696683,0.5153427594674098,0.6398078707469981,0.5338646550680425,1.4364308841419007
91,91,0.9272727272727272,0.8812111419863797,0.994737141226185,1.170074144615607,0.48752432341562,0.6355890639292486,0.5257327733932469,1.5057204774071096
92,92,0.9363636363636364,0.8952519863933341,0.9953833930415189,1.1612591118265376,0.45765178460693257,0.6313440596188035,0.5174804797636001,1.5908323695013815
93,93,0.9454545454545455,0.9095086143800056,0.9960325447799643,1.1523639370572873,0.4252618813315394,0.6270722053234383,0.5091065952340499,1.6981696538401785
94,94,0.9545454545454544,0.9239880800142483,0.9966847970944813,1.1433870798530132,0.38969227989663896,0.622772826153031,0.5006102914940782,1.8384531042970635
95,95,0.9636363636363636,0.9386977791023629,0.9973403561632815,1.1343269863770795,0.34993351486448576,0.6184452241863547,0.491991167672973,2.0313483876997434
96,96,0.9727272727272728,0.953645470150008,0.9979994340951025,1.1251820961592165,0.3042981047907305,0.6140886778963609,0.4832493399911454,2.3180617279246047
97,97,0.9818181818181816,0.9688392967043428,0.9986622493480578,1.1159508502694664,0.24951844226196418,0.6097024416541332,0.47438554628563656,2.805656791308279
98,98,0.9909090909090909,0.9842878111466971,0.9993290271615072,1.106631701158912,0.17721656938650165,0.6052857453355671,0.46540126774937096,3.9210688504821465
99,99,1.0,1.0000000000000195,0.9999999999999972,1.0972231244476032,9.083139126743418e-07,0.6008377940600566,0.4562988705821307,759456.8246810491
